date,open,high,low,close,volume
2024-05-08 04:00:00,49.76,49.94,49.595,49.69,3847090.0
2024-05-09 04:00:00,49.77,50.395,49.7,50.34,3980537.0
2024-05-10 04:00:00,50.5,51.09,50.43,51.0,3873017.0
2024-05-13 04:00:00,51.14,52.16,51.04,51.99,5039653.0
2024-05-14 04:00:00,52.31,52.49,51.6,52.1,3472640.0
2024-05-15 04:00:00,52.37,52.65,51.78,52.42,3914873.0
2024-05-16 04:00:00,52.42,53.035,52.055,52.7,5236528.0
2024-05-17 04:00:00,52.64,52.78,51.12,51.48,4607241.0
2024-05-20 04:00:00,51.45,51.62,51.02,51.24,3056720.0
2024-05-21 04:00:00,51.13,52.369,51.13,52.17,3739649.0
2024-05-22 04:00:00,52.19,52.845,51.8701,52.8,4733946.0
2024-05-23 04:00:00,52.8,52.885,52.31,52.81,4828929.0
2024-05-24 04:00:00,53.0,54.59,53.0,54.41,7773908.0
2024-05-28 04:00:00,54.14,55.15,52.84,52.9,7242958.0
2024-05-29 04:00:00,52.26,52.38,51.38,52.09,6445473.0
2024-05-30 04:00:00,51.94,53.635,51.86,53.35,5853037.0
2024-05-31 04:00:00,53.09,54.25,53.02,54.22,7405680.0
2024-06-03 04:00:00,54.05,54.24,53.19,53.61,6043108.0
2024-06-04 04:00:00,53.4,54.03,52.94,53.75,5010627.0
2024-06-05 04:00:00,53.73,54.25,52.785,53.01,4851952.0
2024-06-06 04:00:00,53.81,53.84,53.31,53.39,4921633.0
2024-06-07 04:00:00,53.35,53.75,53.03,53.08,4337360.0
2024-06-10 04:00:00,52.65,53.19,52.42,53.15,3595229.0
2024-06-11 04:00:00,52.77,53.03,52.135,53.0,4198241.0
2024-06-12 04:00:00,53.41,53.695,52.81,53.19,4573378.0
2024-06-13 04:00:00,53.4,54.34,53.355,53.69,4641754.0
2024-06-14 04:00:00,53.08,53.45,51.945,52.13,5737341.0
2024-06-17 04:00:00,52.01,53.22,51.72,53.14,4399926.0
2024-06-18 04:00:00,52.85,54.59,52.85,54.55,5615016.0
2024-06-20 04:00:00,54.66,54.95,53.47,53.84,4643052.0
2024-06-21 04:00:00,53.88,54.47,53.67,54.15,10478403.0
2024-06-24 04:00:00,54.32,54.96,53.99,54.01,5694787.0
2024-06-25 04:00:00,53.9,55.35,53.81,53.95,4369984.0
2024-06-26 04:00:00,53.54,54.27,53.32,53.69,3473325.0
2024-06-27 04:00:00,53.655,53.67,52.855,53.05,4167276.0
2024-06-28 04:00:00,52.96,53.95,52.67,53.72,7169576.0
2024-07-01 04:00:00,53.85,53.91,52.28,52.68,4501157.0
2024-07-02 04:00:00,52.57,53.395,52.025,53.25,4175108.0
2024-07-03 04:00:00,53.428,53.598,52.23,52.61,2803038.0
2024-07-05 04:00:00,52.53,52.945,52.14,52.87,2686427.0
2024-07-08 04:00:00,52.81,52.915,52.39,52.79,3875776.0
2024-07-09 04:00:00,52.72,53.06,52.15,52.65,3419492.0
2024-07-10 04:00:00,52.59,53.069,52.19,52.98,2684115.0
2024-07-11 04:00:00,53.28,54.18,53.28,54.02,3264969.0
2024-07-12 04:00:00,54.36,54.64,53.84,54.19,3897360.0
2024-07-15 04:00:00,53.71,54.27,53.57,53.72,3259182.0
2024-07-16 04:00:00,53.9,55.495,53.61,55.42,3995509.0
2024-07-17 04:00:00,55.23,55.69,54.42,54.58,3746533.0
2024-07-18 04:00:00,54.63,55.62,54.34,54.39,3630695.0
2024-07-19 04:00:00,54.59,54.64,53.5,53.6,3488819.0
2024-07-22 04:00:00,53.78,54.345,53.39,53.91,3406522.0
2024-07-23 04:00:00,53.76,53.93,53.11,53.24,4678781.0
2024-07-24 04:00:00,53.47,54.05,53.27,53.66,5898425.0
2024-07-25 04:00:00,53.67,54.38,53.1,53.12,4851992.0
2024-07-26 04:00:00,53.7,54.83,53.641,54.18,4130189.0
2024-07-29 04:00:00,54.44,55.22,54.32,54.61,4469834.0
2024-07-30 04:00:00,54.64,55.495,54.6,55.4,4410459.0
2024-07-31 04:00:00,55.5,55.86,54.74,55.61,7601891.0
2024-08-01 04:00:00,55.06,57.68,53.74,56.23,7876901.0
2024-08-02 04:00:00,55.71,56.845,55.34,56.2,5578664.0
2024-08-05 04:00:00,54.9,56.21,54.55,54.66,7416188.0
2024-08-06 04:00:00,55.0,56.65,54.56,55.92,4492200.0
2024-08-07 04:00:00,56.283,56.775,55.045,55.11,4871302.0
2024-08-08 04:00:00,55.51,56.0,55.15,55.94,2640204.0
2024-08-09 04:00:00,56.0,56.74,55.86,56.52,2952171.0
2024-08-12 04:00:00,56.75,57.18,55.5,55.81,4194103.0
2024-08-13 04:00:00,56.13,56.4,55.25,55.7,4889137.0
2024-08-14 04:00:00,55.89,56.71,55.75,55.76,2992982.0
2024-08-15 04:00:00,56.33,56.655,55.61,55.83,4940092.0
2024-08-16 04:00:00,55.9,56.0,54.8,55.5,4966889.0
2024-08-19 04:00:00,55.43,56.935,55.294,56.68,3557384.0
2024-08-20 04:00:00,56.73,56.965,56.37,56.94,3137695.0
2024-08-21 04:00:00,57.03,58.8,56.62,58.68,5541190.0
2024-08-22 04:00:00,58.79,59.36,58.31,59.02,3874957.0
2024-08-23 04:00:00,59.22,59.3,58.48,58.88,2824281.0
2024-08-26 04:00:00,58.94,59.47,58.65,59.0,3196937.0
2024-08-27 04:00:00,58.9,59.85,58.69,59.37,4134243.0
2024-08-28 04:00:00,59.21,59.21,57.68,57.78,4002780.0
2024-08-29 04:00:00,58.0,59.38,57.86,58.6,3422089.0
2024-08-30 04:00:00,58.53,59.22,58.37,59.1,5430169.0
2024-09-03 04:00:00,58.9,59.79,58.5,58.8,4229074.0
2024-09-04 04:00:00,58.84,59.27,58.43,58.95,3775268.0
2024-09-05 04:00:00,58.97,59.5,58.74,59.12,4199828.0
2024-09-06 04:00:00,59.17,59.57,58.64,59.2,5032137.0
2024-09-09 04:00:00,59.35,59.76,58.63,59.43,4075041.0
2024-09-10 04:00:00,59.44,60.445,59.22,60.26,4091494.0
2024-09-11 04:00:00,60.26,60.83,59.7,60.73,5393757.0
2024-09-12 04:00:00,60.89,63.27,60.82,63.18,8941811.0
2024-09-13 04:00:00,63.38,63.9,62.31,63.44,5556646.0
2024-09-16 04:00:00,63.44,64.42,63.1601,64.36,4526746.0
2024-09-17 04:00:00,64.54,64.96,63.6715,64.88,5917981.0
2024-09-18 04:00:00,64.69,64.84,63.02,63.17,6414534.0
2024-09-19 04:00:00,63.9,63.98,62.78,63.22,5348938.0
2024-09-20 04:00:00,62.69,63.37,62.25,62.72,19791045.0
2024-09-23 04:00:00,62.77,63.91,62.71,63.45,4806382.0
2024-09-24 04:00:00,63.8,65.44,63.57,65.44,5275036.0
2024-09-25 04:00:00,65.03,65.4,64.06,64.1,5110742.0
2024-09-26 04:00:00,64.26,64.61,63.64,63.94,3726696.0
2024-09-27 04:00:00,64.1,64.42,63.605,64.0,4479150.0
2024-09-30 04:00:00,63.94,65.28,63.94,65.11,5394282.0
2024-10-01 04:00:00,65.15,66.1,64.43,65.83,5298829.0
2024-10-02 04:00:00,65.46,66.23,65.0,65.2,4937974.0
2024-10-03 04:00:00,65.07,65.43,64.68,65.38,3397628.0
2024-10-04 04:00:00,66.19,66.47,65.71,66.29,3065960.0
2024-10-07 04:00:00,66.21,66.85,66.08,66.77,3752144.0
2024-10-08 04:00:00,66.75,67.655,66.72,67.17,3563904.0
2024-10-09 04:00:00,67.05,67.28,66.67,66.95,3645238.0
2024-10-10 04:00:00,66.96,67.72,65.79,66.05,3656731.0
2024-10-11 04:00:00,66.43,66.96,66.22,66.33,3223940.0
2024-10-14 04:00:00,66.24,67.06,66.12,66.88,3404047.0
2024-10-15 04:00:00,66.93,67.8,66.89,66.99,3955978.0
2024-10-16 04:00:00,66.83,67.28,66.62,66.92,2804474.0
2024-10-17 04:00:00,66.92,67.225,65.335,65.36,4987733.0
2024-10-18 04:00:00,65.4,65.4,64.47,64.95,5186499.0
2024-10-21 04:00:00,64.82,65.36,64.02,64.16,3385548.0
2024-10-22 04:00:00,63.9,64.23,63.245,63.32,4387624.0
2024-10-23 04:00:00,63.95,64.56,63.27,63.67,3574154.0
2024-10-24 04:00:00,63.77,64.44,63.34,63.59,4559624.0
2024-10-25 04:00:00,63.85,64.039,63.01,63.1,3117256.0
2024-10-28 04:00:00,63.604,63.73,62.96,62.99,3072157.0
2024-10-29 04:00:00,62.59,63.3,62.44,62.77,4675421.0
2024-10-30 04:00:00,62.74,62.86,62.03,62.63,7200329.0
2024-10-31 04:00:00,58.885,58.89,56.33,57.51,10499321.0
2024-11-01 04:00:00,57.7,58.3087,57.54,58.11,7848154.0
2024-11-04 05:00:00,58.05,60.33,58.05,60.23,6351374.0
2024-11-05 05:00:00,60.73,61.565,60.58,61.51,5236835.0
2024-11-06 05:00:00,61.99,62.63,60.345,61.08,5512035.0
2024-11-07 05:00:00,60.9,62.24,60.84,62.02,4975108.0
2024-11-08 05:00:00,62.41,62.5,61.5,61.89,3260382.0
2024-11-11 05:00:00,62.0,62.89,61.97,62.43,3432938.0
2024-11-12 05:00:00,62.11,62.74,61.0,61.5,4008037.0
